,Mock_A,Mock_B,Mock_C,Mock_D,Time12_A,Time12_B,Time12_C,Time12_D,Time24_A,Time24_B,Time24_C,Time24_D,Time72_A,Time72_B,Time72_C,Time72_D
Ca_10595.2|Ca_LG_4:31489913-31493436|plus|,165,243,159,296,52,59,114,50,164,312,123,16,0,0,4,0
Ca_10596.1|Ca_LG_4:31496507-31500597|plus|,26,59,24,34,43,33,53,19,89,253,78,59,24,55,42,8
Ca_10597.1|Ca_LG_4:31501569-31506296|plus|,257,320,199,230,271,330,349,279,361,907,421,193,27,64,25,1
Ca_10597.2|Ca_LG_4:31502726-31506354|plus|,0,0,0,0,0,0,0,0,0,0,0,0,6,0,44,0
Ca_10598.1|Ca_LG_4:31508410-31510592|minus|,747,1992,626,790,1235,1462,2027,775,1444,4024,2164,347,43,52,90,2
Ca_10599.1|Ca_LG_4:31521456-31523279|plus|,197,367,200,238,148,246,239,325,190,294,63,11,28,10,135,0
Ca_10600.1|Ca_LG_4:31536728-31537663|minus|,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10601.1|Ca_LG_4:31551689-31554540|plus|,73,91,56,86,551,326,362,448,302,855,228,179,13,20,23,7
Ca_10602.1|Ca_LG_4:31561224-31564020|plus|,63,141,68,84,187,186,269,166,228,703,244,76,2,1,4,0
Ca_10603.1|Ca_LG_4:31575106-31578074|plus|,269,810,245,214,7821,6985,7631,3381,3376,15111,8817,2875,1,4,5,6
Ca_10604.1|Ca_LG_4:31578703-31585372|minus|,126,228,132,156,29,35,53,31,105,227,102,11,3,1,11,0
Ca_10605.1|Ca_LG_4:31587862-31590190|plus|,282,291,200,353,39,75,65,49,330,623,255,40,64,66,75,0
Ca_10606.1|Ca_LG_4:31593493-31594844|plus|,7,9,8,15,28,44,43,35,50,87,51,19,4,1,6,2
Ca_10607.1|Ca_LG_4:31605701-31606708|minus|,61,81,58,71,40,59,56,15,75,167,51,26,10,5,11,2
Ca_10608.1|Ca_LG_4:31606852-31607181|plus|,4,9,6,3,2,4,6,1,6,19,11,0,0,0,0,0
Ca_10609.1|Ca_LG_4:31676536-31700138|minus|,136,275,154,154,100,131,339,77,244,593,322,29,10,17,19,3
Ca_10610.1|Ca_LG_4:31711825-31714046|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10611.1|Ca_LG_4:31739567-31747095|plus|,182,150,187,128,46,97,79,19,96,478,146,26,1,0,0,1
Ca_10612.1|Ca_LG_4:31751526-31752221|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10613.1|Ca_LG_4:31753791-31755942|plus|,24,2,0,43,30,45,56,39,14,80,14,0,1,5,0,0
Ca_10614.1|Ca_LG_4:31758269-31760930|plus|,9,24,11,6,4,2,5,0,4,7,3,0,1,4,0,0
Ca_10615.1|Ca_LG_4:31761518-31763267|minus|,1,16,3,1,366,336,134,346,155,320,144,235,26,98,71,3
Ca_10616.1|Ca_LG_4:31768002-31774558|minus|,93,196,110,139,129,157,212,99,180,459,251,70,0,0,1,0
Ca_10617.1|Ca_LG_4:31779803-31781480|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10618.1|Ca_LG_4:31783531-31789439|minus|,168,234,224,212,526,272,626,706,1050,1008,576,246,223,209,183,12
Ca_10619.1|Ca_LG_4:31811461-31825098|plus|,163,186,147,156,196,193,333,233,272,624,280,92,49,109,49,7
Ca_10620.1|Ca_LG_4:31825966-31829462|minus|,1134,2191,941,1265,5678,6413,7662,3314,4209,14074,8421,2388,66,78,87,3
Ca_10621.1|Ca_LG_4:31836289-31840813|plus|,179,226,131,199,138,135,215,102,176,510,211,53,5,10,18,0
Ca_10622.1|Ca_LG_4:31855650-31856667|plus|,89,89,84,79,31,85,44,21,53,220,55,8,3,0,7,0
Ca_10623.1|Ca_LG_4:31904969-31908982|minus|,1,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Ca_10624.1|Ca_LG_4:31912294-31914376|minus|,45,49,64,54,9,8,13,13,6,12,12,1,0,0,0,0
Ca_10624.2|Ca_LG_4:31912850-31915072|minus|,19,5,4,5,4,3,0,6,6,4,0,3,0,0,2,0
Ca_10625.1|Ca_LG_4:31916532-31920091|minus|,72,99,61,63,93,76,101,97,98,178,99,55,9,11,15,4
Ca_10626.1|Ca_LG_4:31928308-31932221|plus|,426,521,369,579,147,139,187,119,291,632,285,32,7,4,16,6
Ca_10627.1|Ca_LG_4:31948347-31949513|minus|,62,37,37,77,28,31,73,6,25,85,40,14,1,3,3,3
Ca_10628.1|Ca_LG_4:31961884-31966547|plus|,201,284,154,257,204,204,274,157,401,840,410,106,9,7,25,2
Ca_10629.1|Ca_LG_4:31990238-31992980|minus|,91,94,55,28,9,17,153,0,136,178,168,0,0,0,0,0
Ca_10630.1|Ca_LG_4:31998148-32004324|minus|,1111,1274,1012,1328,1169,1108,1486,851,1681,3193,1648,616,243,420,354,35
Ca_10631.1|Ca_LG_4:32007284-32009778|minus|,22,68,20,20,40,43,42,59,86,84,54,23,32,56,41,0
Ca_10632.1|Ca_LG_4:32017607-32018874|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10633.1|Ca_LG_4:32030905-32035867|plus|,8,19,1,11,0,0,0,0,1,4,2,0,0,0,0,0
Ca_10634.1|Ca_LG_4:32053634-32057735|plus|,379,707,487,266,86,166,231,82,768,774,533,71,7,22,36,1
Ca_10635.1|Ca_LG_4:32058245-32059358|minus|,13,38,23,6,0,4,3,0,15,10,3,1,0,0,0,0
Ca_10636.1|Ca_LG_4:32065090-32067429|plus|,17,61,15,18,7,19,5,12,18,26,31,7,0,0,0,0
Ca_10637.1|Ca_LG_4:32068694-32073395|minus|,227,473,279,294,445,481,613,309,480,1323,662,197,31,71,47,0
Ca_10638.1|Ca_LG_4:32084793-32085176|minus|,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Ca_10639.1|Ca_LG_4:32092415-32097358|plus|,120,64,151,125,269,157,274,227,144,286,215,135,129,161,165,14
Ca_10640.1|Ca_LG_4:32103912-32104070|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10641.1|Ca_LG_4:32106001-32106952|minus|,12,16,9,2,389,341,191,646,209,223,112,224,71,122,83,8
Ca_10642.1|Ca_LG_4:32111483-32121317|plus|,387,506,342,477,453,317,390,328,358,816,399,184,53,63,75,1
Ca_10643.1|Ca_LG_4:32133771-32135923|plus|,4,1,3,1,13,7,34,8,6,51,19,21,8,8,1,1
Ca_10644.1|Ca_LG_4:32139434-32144854|plus|,33,56,31,71,43,14,51,22,7,71,29,7,5,2,3,0
Ca_10645.1|Ca_LG_4:32204674-32211889|plus|,155,156,122,188,128,131,140,101,246,499,193,100,42,66,80,1
Ca_10646.1|Ca_LG_4:32220458-32224136|plus|,88,164,79,78,192,143,154,160,150,273,167,62,22,38,55,1
Ca_10647.1|Ca_LG_4:32229739-32232857|minus|,5,113,2,13,20,1,1,2,32,31,11,0,1,8,0,5
Ca_10648.1|Ca_LG_4:32254616-32261916|plus|,205,180,100,165,247,217,267,214,205,522,308,113,44,44,31,10
Ca_10649.1|Ca_LG_4:32264794-32266045|minus|,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ca_10650.1|Ca_LG_4:32283428-32285114|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10651.1|Ca_LG_4:32287052-32293132|minus|,461,504,405,469,833,729,959,590,926,1958,1032,463,123,282,201,55
Ca_10652.1|Ca_LG_4:32294154-32296651|plus|,186,259,214,218,1024,597,510,985,716,825,371,409,156,289,369,34
Ca_10653.1|Ca_LG_4:32299352-32302707|minus|,53,98,53,45,259,234,196,168,178,567,232,101,13,31,36,0
Ca_10653.2|Ca_LG_4:32299305-32302868|minus|,0,2,1,4,12,22,15,8,19,66,16,6,0,0,0,0
Ca_10654.1|Ca_LG_4:32305536-32309478|minus|,4357,7587,3272,3552,6681,7395,9281,4810,9294,23403,12899,2259,123,115,279,22
Ca_10655.1|Ca_LG_4:32309949-32314001|minus|,35,73,56,36,4,3,5,0,98,85,29,0,0,2,1,0
Ca_10656.1|Ca_LG_4:32319114-32322654|minus|,12,5,10,26,2,6,15,3,23,28,12,0,0,0,0,0
Ca_10657.1|Ca_LG_4:32326565-32331349|plus|,74,104,43,79,144,133,164,57,159,368,132,27,4,4,6,1
Ca_10658.1|Ca_LG_4:32333290-32336202|plus|,20,75,39,25,169,159,140,121,112,252,138,32,1,11,14,0
Ca_10659.1|Ca_LG_4:32338345-32341289|plus|,0,0,0,10,5,0,0,0,0,11,0,0,2,0,0,1
Ca_10660.1|Ca_LG_4:32342478-32345862|minus|,78,94,89,111,92,67,59,53,135,210,87,51,23,28,45,1
Ca_10661.1|Ca_LG_4:32346832-32349395|plus|,13,17,0,3,4,0,4,0,11,23,7,0,0,0,0,0
Ca_10662.1|Ca_LG_4:32391778-32395420|plus|,2,2,3,0,1,1,1,1,1,0,1,0,0,0,0,0
Ca_10663.1|Ca_LG_4:32417962-32419031|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10664.1|Ca_LG_4:32442259-32445284|plus|,0,3,0,0,1,0,0,0,0,1,2,1,0,0,0,0
Ca_10665.1|Ca_LG_4:32448567-32450697|minus|,5,28,3,3,6,11,27,4,15,19,9,0,0,0,0,0
Ca_10666.1|Ca_LG_4:32457328-32460350|minus|,234,249,210,208,184,173,272,154,310,680,286,106,51,66,72,8
Ca_10667.1|Ca_LG_4:32463473-32465035|minus|,6,24,2,12,5,2,5,4,9,28,12,0,0,0,0,0
Ca_10668.1|Ca_LG_4:32470332-32472500|minus|,88,126,105,87,114,98,140,133,203,311,186,125,31,68,83,0
Ca_10669.1|Ca_LG_4:32473172-32477526|minus|,148,228,126,188,315,341,400,299,302,707,345,142,54,110,93,9
Ca_10670.1|Ca_LG_4:32481189-32488869|plus|,498,465,331,495,40,21,45,25,120,172,77,16,3,0,4,0
Ca_10671.1|Ca_LG_4:32489585-32490177|plus|,10,5,1,13,568,272,214,360,155,200,138,105,29,58,15,3
Ca_10672.1|Ca_LG_4:32498066-32501332|minus|,135,274,119,147,186,246,326,127,244,609,312,51,7,1,18,0
Ca_10673.1|Ca_LG_4:32535703-32537160|plus|,73,335,136,34,1018,887,481,953,640,1530,637,305,103,146,208,12
Ca_10674.1|Ca_LG_4:32539953-32541247|plus|,11,61,13,11,13,26,17,14,70,15,23,9,13,9,19,0
Ca_10675.1|Ca_LG_4:32545638-32549178|minus|,22,3,11,20,1,0,10,5,32,24,9,2,0,0,0,0
Ca_10676.1|Ca_LG_4:32553079-32557394|plus|,67,105,45,83,129,112,200,61,160,362,201,35,3,10,5,1
Ca_10677.1|Ca_LG_4:32559669-32562382|plus|,27,63,44,41,192,155,164,101,90,271,133,35,9,10,13,2
Ca_10678.1|Ca_LG_4:32564631-32567714|plus|,97,221,121,171,219,221,277,136,221,768,324,99,27,21,36,0
Ca_10679.1|Ca_LG_4:32568550-32572343|minus|,72,94,71,100,72,57,64,40,130,182,68,42,27,25,37,3
Ca_10680.1|Ca_LG_4:32573154-32575570|plus|,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10681.1|Ca_LG_4:32580055-32581732|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10682.1|Ca_LG_4:32584094-32587900|minus|,8,11,6,11,15,7,25,34,51,53,25,7,15,2,4,2
Ca_10683.1|Ca_LG_4:32615441-32616755|plus|,32,41,49,70,11,36,9,11,110,148,43,5,0,0,5,0
Ca_10684.1|Ca_LG_4:32618716-32627570|minus|,89,95,74,104,19,39,39,13,37,125,55,5,0,0,0,0
Ca_10685.1|Ca_LG_4:32631962-32633083|minus|,4,29,11,19,9,6,10,10,11,16,8,1,1,1,2,0
Ca_10686.1|Ca_LG_4:32643662-32648448|plus|,32,69,8,6,15,14,103,7,41,160,62,2,0,0,0,0
Ca_10687.1|Ca_LG_4:32650392-32654503|minus|,66,144,35,31,9,9,10,6,16,37,17,8,0,0,0,0
Ca_10688.1|Ca_LG_4:32667649-32673632|plus|,20,28,14,34,37,11,8,22,25,40,10,2,7,4,1,0
Ca_10689.1|Ca_LG_4:32675787-32677175|plus|,5,9,0,4,1,1,4,1,10,4,4,0,0,0,0,0
Ca_10690.1|Ca_LG_4:32697250-32698256|minus|,28,42,8,17,0,0,0,0,1,0,0,0,0,0,0,0
Ca_10691.1|Ca_LG_4:32708605-32710366|plus|,1,99,13,0,23,7,37,7,0,25,25,0,0,0,0,0
Ca_10692.1|Ca_LG_4:32737131-32738070|plus|,189,149,199,318,154,205,159,387,974,396,198,267,89,120,145,6
Ca_10693.1|Ca_LG_4:32751359-32752249|minus|,28,168,7,50,56,45,3,14,10,10,2,5,0,0,0,0
Ca_10694.1|Ca_LG_4:32754200-32756517|plus|,41,49,26,48,17,16,11,11,40,36,9,14,15,21,29,0
Ca_10695.1|Ca_LG_4:32757042-32758533|minus|,30,24,28,40,28,38,33,26,36,123,63,16,4,3,5,1
Ca_10696.1|Ca_LG_4:32767442-32769775|plus|,6,39,7,13,0,3,2,0,13,22,5,0,0,0,0,0
Ca_10697.1|Ca_LG_4:32771095-32780020|minus|,1045,645,1068,1226,1286,544,1092,1265,1663,1857,1120,935,237,182,320,10
Ca_10698.1|Ca_LG_4:32786011-32794046|minus|,603,587,558,753,1881,1888,1832,1943,1534,2684,1361,1211,341,570,488,46
Ca_10699.1|Ca_LG_4:32798538-32799599|minus|,92,170,97,148,204,280,197,240,193,403,251,125,38,56,71,3
Ca_10700.1|Ca_LG_4:32816654-32820041|plus|,90,461,15,82,74,81,104,67,199,520,618,344,14,54,14,1
Ca_10701.1|Ca_LG_4:32820723-32827831|minus|,75,100,79,91,13,26,30,15,72,223,102,11,19,9,18,0
Ca_10702.1|Ca_LG_4:32830202-32831858|plus|,8,13,4,8,4,9,3,4,7,8,13,3,0,3,2,0
Ca_10703.1|Ca_LG_4:32833216-32836177|minus|,127,228,149,136,197,192,264,155,217,584,264,101,26,51,49,10
Ca_10704.1|Ca_LG_4:32843205-32845582|plus|,6,26,10,6,7,2,12,8,13,18,7,4,31,24,9,0
Ca_10705.1|Ca_LG_4:32847091-32851499|minus|,1999,3833,1984,2294,3584,3537,6892,4688,6324,10263,7014,2432,2814,3071,1921,275
Ca_10706.1|Ca_LG_4:32864338-32866718|plus|,26,31,33,26,27,31,43,70,138,71,49,43,42,29,30,0
Ca_10707.1|Ca_LG_4:32870641-32873885|plus|,12,58,3,10,2,6,28,0,23,40,10,3,0,0,0,0
Ca_10708.1|Ca_LG_4:32882067-32884505|plus|,44,75,23,31,104,83,106,95,119,222,112,74,45,42,30,0
Ca_10709.1|Ca_LG_4:32889920-32893358|minus|,17,33,21,18,4,9,15,4,10,29,30,1,1,1,2,0
Ca_10710.1|Ca_LG_4:32894189-32895557|plus|,30,40,23,27,28,32,60,17,66,136,64,19,0,0,3,0
Ca_10711.1|Ca_LG_4:32897105-32898325|plus|,22,23,11,17,43,51,46,31,36,87,43,21,0,0,6,0
Ca_10712.1|Ca_LG_4:32901231-32903454|plus|,0,0,1,1,0,1,0,1,0,4,1,1,0,0,0,0
Ca_10713.1|Ca_LG_4:32904324-32906445|plus|,29,63,19,25,48,65,80,40,61,154,66,21,8,13,11,0
Ca_10713.2|Ca_LG_4:32904520-32906445|plus|,20,57,20,24,48,66,74,43,44,161,75,34,5,10,12,0
Ca_10714.1|Ca_LG_4:32909729-32910168|plus|,1,0,2,1,0,6,1,1,3,8,1,2,0,0,1,0
Ca_10715.1|Ca_LG_4:32915552-32919530|plus|,92,149,114,116,311,294,392,378,510,683,310,255,130,153,196,31
Ca_10716.1|Ca_LG_4:32922030-32923775|minus|,126,166,140,169,663,491,554,517,556,1351,549,193,67,85,141,4
Ca_10717.1|Ca_LG_4:32926165-32929351|plus|,550,818,421,713,860,646,640,549,1103,2836,1130,141,90,50,130,10
Ca_10718.1|Ca_LG_4:32930249-32936158|plus|,734,1228,540,745,972,998,1223,652,1062,2577,1434,458,32,73,60,5
Ca_10718.2|Ca_LG_4:32930004-32936203|plus|,797,1211,471,752,988,926,1232,664,1057,2473,1369,494,26,66,89,6
Ca_10719.1|Ca_LG_4:32937244-32944179|minus|,451,552,280,433,304,326,417,193,503,1141,479,143,34,22,44,0
Ca_10720.1|Ca_LG_4:32948496-32952875|plus|,25,55,34,26,87,93,98,40,128,388,188,42,0,12,0,3
Ca_10721.1|Ca_LG_4:32953861-32958089|minus|,264,389,272,346,392,507,560,306,459,1167,650,166,55,22,96,4
Ca_10722.1|Ca_LG_4:32965990-32972861|plus|,799,629,765,792,198,370,300,187,513,1433,597,68,1,1,11,0
Ca_10723.1|Ca_LG_4:32988726-32992186|plus|,125,735,37,265,384,623,507,381,313,1195,608,265,2,0,5,0
Ca_10724.1|Ca_LG_4:33008068-33013338|plus|,615,1157,468,915,586,503,665,406,848,1695,1068,599,64,33,168,5
Ca_10725.1|Ca_LG_4:33035596-33044790|plus|,175,237,205,197,69,64,152,25,194,526,286,14,18,1,7,0
Ca_10726.1|Ca_LG_4:33060070-33062479|plus|,363,207,86,110,2110,2068,1630,1029,1758,6016,2812,1758,8,0,16,1
Ca_10727.1|Ca_LG_4:33086199-33087816|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10728.1|Ca_LG_4:33117055-33121075|plus|,11,19,15,13,13,12,9,9,11,18,11,4,0,0,1,0
Ca_10729.1|Ca_LG_4:33122128-33123466|plus|,209,278,203,241,159,181,236,139,202,647,322,77,7,11,14,1
Ca_10730.1|Ca_LG_4:33126915-33131970|minus|,284,417,193,255,331,435,488,229,418,1249,669,222,23,38,9,6
Ca_10731.1|Ca_LG_4:33134669-33139520|plus|,64,173,34,47,43,54,111,45,96,331,149,1,0,0,0,0
Ca_10732.1|Ca_LG_4:33144216-33154917|plus|,431,593,343,366,3452,2924,2866,3471,2289,5315,2150,1207,83,228,163,26
Ca_10733.1|Ca_LG_4:33161065-33162751|plus|,18,22,6,6,5,9,14,6,6,13,5,1,3,4,1,0
Ca_10734.1|Ca_LG_4:33165986-33168431|plus|,44,46,27,50,377,288,194,339,222,238,131,134,91,190,148,19
Ca_10735.1|Ca_LG_4:33174693-33177389|plus|,165,192,188,117,63,70,66,35,452,213,81,46,7,15,10,0
Ca_10736.1|Ca_LG_4:33180604-33181479|plus|,12,10,0,54,0,1,12,22,53,6,0,9,3,0,5,0
Ca_10737.1|Ca_LG_4:33183036-33184061|plus|,247,189,255,287,339,271,326,312,325,501,269,205,69,75,78,9
Ca_10738.1|Ca_LG_4:33187782-33189131|minus|,43,33,35,35,397,550,775,1361,1166,598,446,348,579,806,762,15
Ca_10739.1|Ca_LG_4:33194270-33195333|minus|,117,182,67,62,578,511,553,1516,2145,648,550,321,110,237,230,9
Ca_10740.1|Ca_LG_4:33204493-33205458|plus|,13,24,3,3,144,103,137,312,272,113,135,85,43,91,48,5
Ca_10741.1|Ca_LG_4:33208357-33209768|plus|,5,3,0,0,1,2,3,1,1,1,2,6,0,0,0,0
Ca_10742.1|Ca_LG_4:33210281-33210748|minus|,21,47,17,46,27,27,40,26,35,64,18,13,7,6,7,0
Ca_10743.1|Ca_LG_4:33222634-33228584|plus|,243,353,213,278,144,195,300,132,306,834,368,66,0,12,10,0
Ca_10744.1|Ca_LG_4:33229586-33232664|plus|,2,3,0,1,3,0,1,0,2,2,0,0,0,0,0,0
Ca_10745.1|Ca_LG_4:33234321-33237816|plus|,201,432,208,168,25,19,18,6,21,45,29,3,0,0,0,0
Ca_10746.1|Ca_LG_4:33250434-33252080|plus|,52,45,22,25,4,14,23,3,19,81,19,3,2,0,0,0
Ca_10747.1|Ca_LG_4:33254241-33262686|minus|,235,232,223,246,248,295,379,239,329,634,367,116,62,83,67,6
Ca_10748.1|Ca_LG_4:33280559-33282151|plus|,106,233,74,59,38,16,86,5,144,245,129,0,0,0,0,1
Ca_10749.1|Ca_LG_4:33282389-33284692|minus|,89,92,14,32,1,1,5,5,4,13,17,0,0,0,0,0
Ca_10750.1|Ca_LG_4:33292301-33298353|minus|,357,413,241,362,58,63,141,51,195,377,177,15,2,0,5,0
Ca_10751.1|Ca_LG_4:33302416-33304973|minus|,60,104,36,96,42,42,48,18,50,141,69,20,1,6,4,0
Ca_10752.1|Ca_LG_4:33310669-33313952|plus|,6,9,1,6,233,226,77,283,50,140,46,167,8,8,11,0
Ca_10753.1|Ca_LG_4:33324581-33330118|minus|,42,59,62,52,47,36,40,21,41,131,64,20,10,10,15,2
Ca_10754.1|Ca_LG_4:33346032-33346933|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10755.1|Ca_LG_4:33366930-33369982|minus|,32,33,29,38,20,38,57,30,59,249,68,15,0,3,0,0
Ca_10756.1|Ca_LG_4:33388096-33393102|minus|,75,130,59,58,75,123,170,63,179,467,225,37,13,21,14,4
Ca_10757.1|Ca_LG_4:33406988-33410569|plus|,211,250,243,254,340,394,459,208,222,572,255,71,0,9,32,3
Ca_10758.1|Ca_LG_4:33414073-33417515|plus|,1,14,14,2,1,0,8,0,0,1,1,0,0,0,0,0
Ca_10759.1|Ca_LG_4:33419655-33423052|minus|,212,215,210,291,128,141,157,131,226,450,206,98,45,37,47,0
Ca_10760.1|Ca_LG_4:33424507-33431382|plus|,1225,2144,1057,1365,1718,1768,2182,1421,2395,5570,2789,799,140,125,246,15
Ca_10761.1|Ca_LG_4:33435183-33437933|plus|,94,97,65,110,161,184,171,170,177,374,181,93,55,52,50,7
Ca_10762.1|Ca_LG_4:33440433-33454202|plus|,263,592,251,261,277,404,659,211,571,1700,765,112,5,5,27,0
Ca_10763.1|Ca_LG_4:33455420-33456322|minus|,22,6,17,16,371,160,299,326,223,124,78,122,65,108,67,4
Ca_10764.1|Ca_LG_4:33479542-33486003|plus|,50,62,31,39,3,0,7,0,14,9,4,0,0,0,0,0
Ca_10764.2|Ca_LG_4:33479536-33486584|plus|,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
Ca_10764.3|Ca_LG_4:33479542-33486571|plus|,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10765.1|Ca_LG_4:33486718-33489721|minus|,369,310,351,448,473,648,650,595,689,1255,536,413,136,159,276,11
Ca_10766.1|Ca_LG_4:33491852-33492759|minus|,9,8,2,1,5,4,9,7,3,16,9,1,6,9,8,0
Ca_10767.1|Ca_LG_4:33494101-33496321|minus|,67,93,62,111,118,78,113,87,107,249,130,61,37,53,45,9
Ca_10768.1|Ca_LG_4:33496704-33499681|plus|,110,109,101,130,86,94,131,46,117,280,93,41,38,67,86,1
Ca_10769.1|Ca_LG_4:33500158-33502244|minus|,2,1,1,0,1,3,5,3,3,6,2,4,2,1,3,0
Ca_10770.1|Ca_LG_4:33516896-33518074|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10771.1|Ca_LG_4:33518641-33531443|minus|,73,151,90,35,19,15,37,12,56,129,76,6,0,0,0,0
Ca_10772.1|Ca_LG_4:33534448-33539571|minus|,443,701,381,337,144,238,313,110,398,728,459,141,13,18,37,5
Ca_10773.1|Ca_LG_4:33559930-33562629|minus|,314,1690,347,318,576,986,2542,467,1244,5050,2221,28,1,1,2,0
Ca_10774.1|Ca_LG_4:33572694-33580893|minus|,37,106,82,87,213,167,274,151,375,557,360,255,101,172,184,10
Ca_10775.1|Ca_LG_4:33594009-33597136|minus|,243,250,234,282,346,263,288,319,359,494,265,197,134,180,221,28
Ca_10776.1|Ca_LG_4:33609148-33614754|plus|,43,19,65,22,6,6,7,2,27,37,13,0,0,0,1,1
Ca_10777.1|Ca_LG_4:33643502-33644614|plus|,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Ca_10778.1|Ca_LG_4:33646167-33650402|plus|,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Ca_10779.1|Ca_LG_4:33661481-33661873|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10780.1|Ca_LG_4:33670643-33677298|plus|,185,212,142,229,69,97,126,59,229,491,202,19,15,26,16,6
Ca_10781.1|Ca_LG_4:33679588-33686332|plus|,31,38,28,40,18,18,27,11,39,77,41,8,4,13,5,0
Ca_10782.1|Ca_LG_4:33687702-33690247|minus|,32,34,23,29,71,73,46,49,59,138,74,29,8,8,8,4
Ca_10783.1|Ca_LG_4:33693753-33697506|plus|,236,249,174,213,301,333,331,329,294,570,319,183,93,110,145,4
Ca_10784.1|Ca_LG_4:33708811-33712669|plus|,139,162,149,147,209,218,345,244,276,471,190,128,41,87,75,6
Ca_10785.1|Ca_LG_4:33717013-33719676|minus|,313,338,286,309,737,733,863,660,699,1749,781,440,173,225,302,23
Ca_10786.1|Ca_LG_4:33722740-33732882|plus|,684,1203,481,679,1589,1218,1699,818,1407,3615,1758,608,3,2,3,0
Ca_10787.1|Ca_LG_4:33734872-33739593|minus|,64,131,87,71,41,106,90,47,121,286,138,40,4,1,10,1
Ca_10788.1|Ca_LG_4:33742107-33744554|minus|,10,50,18,12,12,19,25,9,37,87,18,2,0,0,3,0
Ca_10789.1|Ca_LG_4:33745639-33747421|plus|,0,0,0,0,3,2,1,2,0,1,0,0,0,0,0,0
Ca_10790.1|Ca_LG_4:33747908-33755128|minus|,270,331,158,363,42,33,42,30,82,198,57,12,11,11,10,3
Ca_10791.1|Ca_LG_4:33755372-33758021|plus|,165,228,179,221,222,207,286,172,298,688,312,126,18,61,79,2
Ca_10792.1|Ca_LG_4:33762490-33764031|plus|,8,5,6,7,10,2,1,1,2,11,1,1,0,0,6,0
Ca_10793.1|Ca_LG_4:33771517-33773310|plus|,1661,1276,1005,1203,1574,1404,1753,751,3652,4986,2599,91,1,0,0,2
Ca_10794.1|Ca_LG_4:33779239-33783158|plus|,49,77,43,57,23,21,51,31,38,78,29,21,1,7,6,2
Ca_10795.1|Ca_LG_4:33785674-33788983|plus|,67,95,70,76,80,27,64,24,43,126,85,4,0,0,1,0
Ca_10796.1|Ca_LG_4:33800721-33804037|plus|,226,191,213,218,305,256,272,347,301,361,199,249,143,353,268,28
Ca_10797.1|Ca_LG_4:33808802-33817905|plus|,31,35,35,34,18,22,35,15,44,107,29,15,3,7,9,1
Ca_10798.1|Ca_LG_4:33822698-33824934|minus|,54,101,45,78,95,93,75,38,68,292,164,48,6,3,20,0
Ca_10799.1|Ca_LG_4:33834023-33836858|plus|,135,189,107,111,160,148,246,127,155,442,189,80,8,29,10,1
Ca_10800.1|Ca_LG_4:33840723-33849568|plus|,124,234,73,162,29,26,30,10,59,91,65,7,0,0,0,0
Ca_10800.2|Ca_LG_4:33840716-33848338|plus|,101,231,74,198,28,39,31,21,63,96,63,12,0,0,1,0
Ca_10801.1|Ca_LG_4:33869616-33872348|minus|,51,63,29,103,210,155,183,85,72,641,144,38,46,49,93,4
Ca_10802.1|Ca_LG_4:33873881-33874114|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10803.1|Ca_LG_4:33897449-33902546|minus|,66,47,26,33,8,10,18,7,42,105,38,3,0,0,0,1
Ca_10804.1|Ca_LG_4:33903742-33906398|plus|,67,77,64,104,65,83,65,44,101,158,67,11,3,16,13,3
Ca_10805.1|Ca_LG_4:33906904-33910066|minus|,67,78,43,72,38,24,27,41,47,77,21,29,33,6,46,0
Ca_10806.1|Ca_LG_4:33913767-33915204|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_10807.1|Ca_LG_4:33944394-33948598|minus|,423,465,407,351,405,600,760,329,607,1551,785,273,57,100,84,14
